source_id,source_type,category,priority,technical_details,suggested_title
R001,app_store_review,Bug,High,"Device: Pixel 7 | OS: Android 14 | Version: 3.0.1 | Steps: Open app > Task Manager | Reproducible after reinstall","[BUG] App crashes on Task Manager screen - Android 14"
R002,app_store_review,Bug,Critical,"Device: iPhone 13 | OS: iOS 17.4 | Version: 3.0.1 | Symptom: Blank white screen post-login","[BUG] Login renders blank screen on iOS after 3.0.1 update"
R003,app_store_review,Feature Request,Low,"No technical details | User request for dark mode UI option","[FEATURE] Add dark mode support"
R004,app_store_review,Praise,Low,"No action required | Positive feedback on reminders and overall UX","[PRAISE] Positive review - reminders and task management"
R005,app_store_review,Complaint,Medium,"Version: 3.0.1 | Performance issue on large lists (50+ tasks) | 4-5 second load times","[PERF] Slow load times on large task lists"
R006,app_store_review,Bug,Critical,"Device: iPhone + iPad | Version: 3.0.1 | Data sync failure causing task data loss","[BUG] Cross-device sync failure causing data loss - 3.0.1"
R007,app_store_review,Feature Request,Medium,"No technical details | Request for Google Calendar two-way sync","[FEATURE] Google Calendar integration for task sync"
R008,app_store_review,Praise,Low,"No action required | Positive feedback on UI and team collaboration features","[PRAISE] Positive review - UI and collaboration features"
R009,app_store_review,Complaint,Medium,"Version: 3.0.1 | User dissatisfied with 40% price increase without new features","[COMPLAINT] Subscription price increase without value addition"
R010,app_store_review,Spam,Low,"No technical details | Unrelated promotional content","[SPAM] Ignore - promotional spam review"
E001,support_email,Bug,High,"Device: Samsung Galaxy S23 | OS: Android 13 | Version: 3.0.1 | Steps: Projects > Select project > Task Manager | Crash on tap","[BUG] Task Manager crash - Samsung Galaxy S23 Android 13"
E002,support_email,Bug,Critical,"Device: iPhone 14 Pro | OS: iOS 17.5 | Version: 3.0.1 | White screen after login | Cache clear and reinstall attempted","[BUG] Login white screen - iPhone 14 Pro iOS 17.5 - 3.0.1"
E003,support_email,Feature Request,Low,"No technical details | Request for built-in Pomodoro timer with task logging","[FEATURE] Built-in Pomodoro timer with task tracking"
E004,support_email,Bug,Critical,"Devices: iPad Pro iOS 17 + iPhone 13 iOS 17 | Sync failure + data loss on manual force-sync | Premium user","[BUG] Manual sync wipes task data - cross-device iOS - CRITICAL"
E005,support_email,Feature Request,Medium,"No technical details | Request for reusable recurring task group templates","[FEATURE] Recurring task templates / reusable checklists"
